date,open,high,low,close,adj_close,volume,return,log_return,volatility_5d
2014-09-22 00:00:00+00:00,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,24127600,0.008352101649706567,0.008317415847792081,0.048559779598157514
2014-09-23 00:00:00+00:00,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,45099500,0.08364741783421215,0.08033258980830758,0.05805462410213896
2014-09-24 00:00:00+00:00,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,423.2049865722656,30627700,-0.028880814347395978,-0.029306072958098176,0.04547480204295195
2014-09-25 00:00:00+00:00,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,26814400,-0.027483091679796234,-0.027867817193167922,0.04683182014221209
2014-09-26 00:00:00+00:00,411.4289855957031,414.93798828125,400.0090026855469,404.42498779296875,404.42498779296875,21460800,-0.017369943788794973,-0.0175225712651671,0.04589680207652081
2014-09-27 00:00:00+00:00,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,399.5199890136719,15029300,-0.012128327693262664,-0.012202475999442203,0.046195518377668804
2014-09-28 00:00:00+00:00,399.47100830078125,401.0169982910156,374.3320007324219,377.1809997558594,377.1809997558594,23613300,-0.055914572166871124,-0.05753862134517328,0.017533206650025362
2014-09-29 00:00:00+00:00,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,375.4670104980469,32497700,-0.00454420890480145,-0.004554565208133669,0.02060972469845517
2014-09-30 00:00:00+00:00,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,386.9440002441406,34707300,0.030567238732558177,0.03010936786854685,0.031354246685617516
2014-10-01 00:00:00+00:00,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,383.614990234375,26229400,-0.008603337970520819,-0.008640560327416795,0.031238739672027508
2014-10-02 00:00:00+00:00,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,375.0719909667969,21777700,-0.0222697222086099,-0.022521436563615105,0.03171122288203396
2014-10-03 00:00:00+00:00,375.1809997558594,377.69500732421875,357.8590087890625,359.5119934082031,359.5119934082031,30901200,-0.04148536263261304,-0.042370445494222315,0.02666494118690696
2014-10-04 00:00:00+00:00,359.8919982910156,364.48699951171875,325.885986328125,328.8659973144531,328.8659973144531,47236500,-0.08524332054467354,-0.0890971731632362,0.043902409185408026
2014-10-05 00:00:00+00:00,328.9159851074219,341.8009948730469,289.2959899902344,320.510009765625,320.510009765625,83308096,-0.025408487399317115,-0.02573685720834996,0.03115058391070515
2014-10-06 00:00:00+00:00,320.3890075683594,345.1340026855469,302.55999755859375,330.0790100097656,330.0790100097656,79011800,0.02985554258083245,0.029418542484082596,0.04257391041125173
