date,state,close
2014-10-13 00:00:00+00:00,2,-0.86953233815663
2014-10-14 00:00:00+00:00,3,-0.8692091993581148
2014-10-15 00:00:00+00:00,3,-0.8693976245263765
2014-10-16 00:00:00+00:00,3,-0.8697751869298217
2014-10-17 00:00:00+00:00,3,-0.869738039671744
2014-10-18 00:00:00+00:00,3,-0.869500568654298
2014-10-19 00:00:00+00:00,3,-0.8695591637453143
2014-10-20 00:00:00+00:00,3,-0.869766255441412
2014-10-21 00:00:00+00:00,3,-0.869654071419937
2014-10-22 00:00:00+00:00,3,-0.8697565826488954
2014-10-23 00:00:00+00:00,3,-0.8705211944507083
2014-10-24 00:00:00+00:00,3,-0.8705234193061633
2014-10-25 00:00:00+00:00,3,-0.8708656575314775
2014-10-26 00:00:00+00:00,3,-0.8706359428562367
2014-10-27 00:00:00+00:00,3,-0.8706889442135931
2014-10-28 00:00:00+00:00,3,-0.8705458866680321
2014-10-29 00:00:00+00:00,3,-0.8712266235884025
2014-10-30 00:00:00+00:00,3,-0.870926416174174
2014-10-31 00:00:00+00:00,3,-0.8711422535610873
2014-11-01 00:00:00+00:00,3,-0.8715307874539382
2014-11-02 00:00:00+00:00,3,-0.871526367923348
2014-11-03 00:00:00+00:00,3,-0.8714750047914793
2014-11-04 00:00:00+00:00,3,-0.8713842063560331
2014-11-05 00:00:00+00:00,3,-0.8711062503257594
2014-11-06 00:00:00+00:00,3,-0.8708032606632934
2014-11-07 00:00:00+00:00,3,-0.8710157301151369
2014-11-08 00:00:00+00:00,3,-0.8709207601936044
2014-11-09 00:00:00+00:00,3,-0.8703713991487376
2014-11-10 00:00:00+00:00,3,-0.8702582880255618
2014-11-11 00:00:00+00:00,3,-0.8702344606630291
2014-11-12 00:00:00+00:00,3,-0.8685079417065068
2014-11-13 00:00:00+00:00,3,-0.8685952788365185
2014-11-14 00:00:00+00:00,3,-0.8693035204027701
2014-11-15 00:00:00+00:00,3,-0.8699736876092431
2014-11-16 00:00:00+00:00,3,-0.8696105891240927
2014-11-17 00:00:00+00:00,3,-0.8696252378968468
2014-11-18 00:00:00+00:00,3,-0.870002583379243
2014-11-19 00:00:00+00:00,3,-0.8698370273483583
2014-11-20 00:00:00+00:00,3,-0.870539026304073
2014-11-21 00:00:00+00:00,3,-0.8707551117354901
2014-11-22 00:00:00+00:00,3,-0.8706910766418184
2014-11-23 00:00:00+00:00,3,-0.8702382313167422
2014-11-24 00:00:00+00:00,3,-0.8699499526739399
2014-11-25 00:00:00+00:00,3,-0.8699979478707389
2014-11-26 00:00:00+00:00,3,-0.8702136004031931
2014-11-27 00:00:00+00:00,3,-0.8701734237955089
2014-11-28 00:00:00+00:00,3,-0.8699639836932718
2014-11-29 00:00:00+00:00,3,-0.8699935283401488
2014-11-30 00:00:00+00:00,3,-0.8699145360685794
2014-12-01 00:00:00+00:00,3,-0.869877512361186
2014-12-02 00:00:00+00:00,3,-0.8698135395144241
2014-12-03 00:00:00+00:00,3,-0.8700083930908169
2014-12-04 00:00:00+00:00,3,-0.8701754637965047
2014-12-05 00:00:00+00:00,3,-0.8699514051018334
2014-12-06 00:00:00+00:00,3,-0.8700153468251406
2014-12-07 00:00:00+00:00,3,-0.8700057664598537
2014-12-08 00:00:00+00:00,3,-0.8704132752856841
2014-12-09 00:00:00+00:00,3,-0.8707127413958059
2014-12-10 00:00:00+00:00,3,-0.8708936573232314
2014-12-11 00:00:00+00:00,3,-0.8707656805062526
2014-12-12 00:00:00+00:00,3,-0.8707027592550108
2014-12-13 00:00:00+00:00,3,-0.8708624122039571
2014-12-14 00:00:00+00:00,3,-0.8707308825974492
2014-12-15 00:00:00+00:00,3,-0.8709251797241946
2014-12-16 00:00:00+00:00,3,-0.8714902090707458
2014-12-17 00:00:00+00:00,3,-0.8717153806647121
